241001001,,,OBCPwD,18,IIT Delhi,Electrical Engineering,,4,Panaji,Goa
241001003,1637,214,gen,1637,IIT Kharagpur,Electrical Engineering,,4,Panaji,Goa
241001005,15801,128,gen,15801,,,,,Panaji,Goa
241001007,11013,141,gen,11013,,,,,Panaji,Goa
241001015,9141,149,gen,9141,,,,,Panaji,Goa
241001017,10245,144,gen,10245,,,,,Panaji,Goa
241001018,12574,136,gen,12574,,,,,Panaji,Goa
241001024,23562,112,gen,23562,,,,,Panaji,Goa
241001031,16486,126,gen,16486,,,,,Panaji,Goa
241001032,15525,128,OBC,3775,,,,,Panaji,Goa
241001033,21859,115,gen,21859,,,,,Panaji,Goa
241001037,10772,142,gen,10772,,,,,Panaji,Goa
241001044,24632,110,gen,24632,,,,,Panaji,Goa
241001050,17843,123,gen,17843,,,,,Panaji,Goa
241001057,21558,116,gen,21558,,,,,Panaji,Goa
241001064,,66,SC,3637,IIT Gandhinagar,Mechanical Engineering,,5,Panaji,Goa
241001067,25274,109,gen,25274,,,,,Panaji,Goa
241001070,5877,166,gen,5877,IIT (ISM) Dhanbad,Electronics and Communication Engineering,,4,Panaji,Goa
241001072,25650,109,gen,25650,,,,,Panaji,Goa
241001076,23373,113,gen,23373,,,,,Panaji,Goa
241001086,,,PREP-SC,7711,,,,,Panaji,Goa
241001095,19463,120,gen,19463,,,,,Panaji,Goa
241001097,,,PREP-ST,2783,,,,,Panaji,Goa
241001100,25245,109,gen,25245,,,,,Panaji,Goa
241001102,21309,116,gen,21309,,,,,Panaji,Goa
241001104,22264,115,SC,687,IIT Kharagpur,Mechanical Engineering,,4,Panaji,Goa
241001105,,54,SC,5637,,,,,Panaji,Goa
241002004,,,PREP-ST,1478,,,,,Madgaon,Goa
241002006,15076,130,gen,15076,,,,,Madgaon,Goa
241002009,23331,113,gen,23331,,,,,Madgaon,Goa
241002012,5108,171,gen,5108,IIT Kharagpur,Economics,,4,Madgaon,Goa
241002013,23388,113,gen,23388,,,,,Madgaon,Goa
241002014,9465,147,gen,9465,,,,,Madgaon,Goa
241002022,7333,157,gen,7333,IIT Madras,Naval Architecture and Ocean Engineering,,4,Madgaon,Goa
241002024,8689,151,gen,8689,IIT Madras,Chemical Engineering,,4,Madgaon,Goa
241002032,5124,171,gen,5124,IIT Dharwad,Computer Science and Engineering,,4,Madgaon,Goa
241002043,,100,OBC,8727,,,,,Madgaon,Goa
241002045,3924,181,gen,3924,IIT Madras,Chemical Engineering,,4,Madgaon,Goa
241002046,7635,155,gen,7635,IIT Guwahati,Civil Engineering,,4,Madgaon,Goa
241002048,4698,175,gen,4698,IIT Indore,Computer Science and Engineering,,4,Madgaon,Goa
241002051,21297,116,gen,21297,,,,,Madgaon,Goa
241002052,,64,ST,1136,IIT Guwahati,Engineering Physics,,4,Madgaon,Goa
241002053,,58,SC,4738,,,,,Madgaon,Goa
241002058,23353,113,gen,23353,,,,,Madgaon,Goa
241002062,16306,127,EWS,2278,,,,,Madgaon,Goa
241002063,,,PREP-SC,4344,,,,,Madgaon,Goa
241002066,12903,135,gen,12903,IIT (BHU) Varanasi,Pharmaceutical Engineering & Technology,,4,Madgaon,Goa
241002072,24442,111,gen,24442,IIT Patna,Metallurgical and Materials Engineering,,4,Madgaon,Goa
241002073,4184,179,gen,4184,,,,,Madgaon,Goa
241002074,,,PREP-ST,2350,,,,,Madgaon,Goa
241003002,,,PREP-OBC-PwD,78,,,,,Ahmedabad,Gujarat
241003004,,73,CRLPwD,87,IIT Madras,Electrical Engineering,,4,Ahmedabad,Gujarat
241003006,,,PREP-CRL-PwD,29,IIT Kanpur,Chemical Engineering,,4,Ahmedabad,Gujarat
241003011,3104,189,gen,3104,IIT Bombay,Civil Engineering,,4,Ahmedabad,Gujarat
241003014,198,281,gen,198,IIT Kanpur,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003017,24069,111,OBC,6231,,,,,Ahmedabad,Gujarat
241003019,1550,216,gen,1550,IIT Bombay,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003022,5623,167,gen,5623,IIT Kanpur,Materials Science and Engineering,,4,Ahmedabad,Gujarat
241003024,25075,110,OBC,6526,,,,,Ahmedabad,Gujarat
241003028,,64,SC,3899,,,,,Ahmedabad,Gujarat
241003029,,,PREP-SC,2026,,,,,Ahmedabad,Gujarat
241003033,14116,132,gen,14116,IIT Kharagpur,Metallurgical and Materials Engineering,,4,Ahmedabad,Gujarat
241003034,,56,SC,5165,,,,,Ahmedabad,Gujarat
241003036,11286,141,OBC,2555,,,,,Ahmedabad,Gujarat
241003037,25155,110,gen,25155,,,,,Ahmedabad,Gujarat
241003038,14410,131,gen,14410,IIT Gandhinagar,Chemical Engineering,,4,Ahmedabad,Gujarat
241003042,25265,109,EWS,3879,,,,,Ahmedabad,Gujarat
241003044,,89,SC,1687,IIT Gandhinagar,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003048,20080,119,gen,20080,,,,,Ahmedabad,Gujarat
241003051,,,PREP-SC,5619,,,,,Ahmedabad,Gujarat
241003053,21741,115,OBC,5519,,,,,Ahmedabad,Gujarat
241003054,,101,EWS,4804,,,,,Ahmedabad,Gujarat
241003055,,,PREP-SC,597,,,,,Ahmedabad,Gujarat
241003063,,,PREP-ST,3019,,,,,Ahmedabad,Gujarat
241003066,22013,115,gen,22013,,,,,Ahmedabad,Gujarat
241003074,3194,189,gen,3194,IIT Kharagpur,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003079,10978,142,gen,10978,IIT Jodhpur,Electrical Engineering,,4,Ahmedabad,Gujarat
241003080,15804,128,gen,15804,,,,,Ahmedabad,Gujarat
241003083,19020,121,gen,19020,,,,,Ahmedabad,Gujarat
241003084,15240,129,gen,15240,,,,,Ahmedabad,Gujarat
241003088,18190,123,gen,18190,,,,,Ahmedabad,Gujarat
241003091,5791,166,gen,5791,IIT Kanpur,Materials Science and Engineering,,4,Ahmedabad,Gujarat
241003092,,102,EWS,4763,,,,,Ahmedabad,Gujarat
241003099,,,PREP-SC,7624,,,,,Ahmedabad,Gujarat
241003102,23197,113,gen,23197,,,,,Ahmedabad,Gujarat
241003103,,99,EWS,5145,,,,,Ahmedabad,Gujarat
241003110,15201,129,EWS,2097,,,,,Ahmedabad,Gujarat
241003112,1375,221,OBC,223,IIT Roorkee,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003113,,,PREP-SC,2040,,,,,Ahmedabad,Gujarat
241003115,20624,118,OBC,5202,,,,,Ahmedabad,Gujarat
241003116,18280,122,gen,18280,,,,,Ahmedabad,Gujarat
241003118,8197,153,gen,8197,IIT Hyderabad,Materials Science and Metallurgical Engineering,,4,Ahmedabad,Gujarat
241003120,8291,152,EWS,1017,IIT Delhi,Biotechnology and Biochemical Engineering,,4,Ahmedabad,Gujarat
241003122,8638,151,gen,8638,IIT Jodhpur,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003123,,107,SC,887,IIT Delhi,Chemical Engineering,,5,Ahmedabad,Gujarat
241003124,19631,120,gen,19631,,,,,Ahmedabad,Gujarat
241003126,17436,124,EWS,2474,,,,,Ahmedabad,Gujarat
241003130,19052,121,OBC,4747,IIT Jodhpur,Civil and Infrastructure Engineering,,4,Ahmedabad,Gujarat
241003133,,90,SC,1599,,,,,Ahmedabad,Gujarat
241003134,2579,197,gen,2579,IIT Madras,Aerospace Engineering,,4,Ahmedabad,Gujarat
241003139,,56,SC,5168,,,,,Ahmedabad,Gujarat
241003142,1542,216,gen,1542,IIT Guwahati,Electronics and Communication Engineering,,4,Ahmedabad,Gujarat
241003158,18895,121,gen,18895,,,,,Ahmedabad,Gujarat
241003162,8329,152,gen,8329,IIT Patna,Artificial Intelligence and Data Science,,4,Ahmedabad,Gujarat
241003166,,,PREP-SC,611,,,,,Ahmedabad,Gujarat
241003167,6805,160,gen,6805,,,,,Ahmedabad,Gujarat
241003168,,57,SC,4973,,,,,Ahmedabad,Gujarat
241003169,3577,185,SC,87,IIT Roorkee,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003184,1521,216,gen,1521,IIT Kharagpur,Electrical Engineering,,4,Ahmedabad,Gujarat
241003190,,55,SC,5327,,,,,Ahmedabad,Gujarat
241003192,21408,116,gen,21408,,,,,Ahmedabad,Gujarat
241003193,,86,SC,1825,IIT Ropar,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003199,,106,EWS,4243,,,,,Ahmedabad,Gujarat
241003201,7293,157,OBC,1522,,,,,Ahmedabad,Gujarat
241003209,18945,121,gen,18945,,,,,Ahmedabad,Gujarat
241003211,3240,188,gen,3240,IIT Roorkee,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003214,22795,114,gen,22795,,,,,Ahmedabad,Gujarat
241003218,21233,116,gen,21233,,,,,Ahmedabad,Gujarat
241003219,8543,151,gen,8543,IIT Bombay,Civil Engineering,,4,Ahmedabad,Gujarat
241003220,4503,176,gen,4503,IIT Delhi,Biotechnology and Biochemical Engineering,,4,Ahmedabad,Gujarat
241003225,21210,116,OBC,5358,,,,,Ahmedabad,Gujarat
241003226,3500,186,gen,3500,,,,,Ahmedabad,Gujarat
241003229,14830,130,gen,14830,IIT Jodhpur,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003230,6513,161,OBC,1327,IIT Bombay,Aerospace Engineering,,4,Ahmedabad,Gujarat
241003232,,,PREP-SC,658,,,,,Ahmedabad,Gujarat
241003240,19452,120,gen,19452,,,,,Ahmedabad,Gujarat
241003241,,108,OBC,6832,,,,,Ahmedabad,Gujarat
241003242,5188,171,gen,5188,IIT Guwahati,Engineering Physics,,4,Ahmedabad,Gujarat
241003244,5433,168,gen,5433,IIT Gandhinagar,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003246,14797,130,gen,14797,IIT Jodhpur,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003249,21793,115,gen,21793,,,,,Ahmedabad,Gujarat
241003250,,,PREP-SC,3818,,,,,Ahmedabad,Gujarat
241003253,4173,179,gen,4173,IIT Bombay,Metallurgical Engineering and Materials Science,,4,Ahmedabad,Gujarat
241003254,11408,140,EWS,1507,,,,,Ahmedabad,Gujarat
241003255,5020,172,gen,5020,IIT (BHU) Varanasi,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003257,,102,SC,1070,IIT Gandhinagar,Integrated Circuit Design & Technology,,4,Ahmedabad,Gujarat
241003261,2749,194,gen,2749,IIT Jodhpur,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003264,2034,205,gen,2034,IIT Bombay,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003268,,98,OBC,9288,,,,,Ahmedabad,Gujarat
241003270,17806,123,EWS,2532,,,,,Ahmedabad,Gujarat
241003271,5795,166,gen,5795,,,,,Ahmedabad,Gujarat
241003278,,,PREP-SC,8152,,,,,Ahmedabad,Gujarat
241003286,4183,179,gen,4183,IIT Guwahati,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003288,22371,114,gen,22371,,,,,Ahmedabad,Gujarat
241003290,9857,146,gen,9857,,,,,Ahmedabad,Gujarat
241003292,7101,159,gen,7101,,,,,Ahmedabad,Gujarat
241003297,19410,120,gen,19410,,,,,Ahmedabad,Gujarat
241003304,6085,164,gen,6085,IIT Jammu,Computer Science and Engineering,,4,Ahmedabad,Gujarat
241003305,12836,136,gen,12836,,,,,Ahmedabad,Gujarat
241003318,,,PREP-ST,362,,,,,Ahmedabad,Gujarat
241003321,15027,130,gen,15027,IIT Palakkad,Civil Engineering,,4,Ahmedabad,Gujarat
241003325,7675,155,EWS,937,IIT (ISM) Dhanbad,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003328,11759,139,EWS,1566,,,,,Ahmedabad,Gujarat
241003330,5831,166,gen,5831,,,,,Ahmedabad,Gujarat
241003333,20895,117,gen,20895,IIT (BHU) Varanasi,Mining Engineering,,4,Ahmedabad,Gujarat
241003336,8755,150,gen,8755,IIT (ISM) Dhanbad,Mechanical Engineering,,4,Ahmedabad,Gujarat
241003344,10230,144,gen,10230,,,,,Ahmedabad,Gujarat
241003348,22231,115,gen,22231,,,,,Ahmedabad,Gujarat
241003352,13022,135,gen,13022,,,,,Ahmedabad,Gujarat
