Indian Institute of Technology Bhubaneswar,Total Seats,191,10,48,2,70,4,35,2,127,7,496,496 0
Indian Institute of Technology Bombay,Total Seats,531,18,129,11,194,10,97,8,347,15,1360,1204 156
Indian Institute of Technology Mandi,Total Seats,201,10,50,2,74,4,37,2,132,8,520,501 19
Indian Institute of Technology Delhi,Total Seats,474,27,118,6,177,9,89,4,318,17,1239,1239 0
Indian Institute of Technology Indore,Total Seats,186,8,45,3,68,4,34,2,123,7,480,445 35
Indian Institute of Technology Kharagpur,Total Seats,737,39,183,9,274,14,137,7,493,26,1919,1719 200
Indian Institute of Technology Hyderabad,Total Seats,240,13,60,3,90,5,46,2,162,9,630,529 101
Indian Institute of Technology Jodhpur,Total Seats,247,7,57,1,89,2,43,2,153,9,610,488 122
Indian Institute of Technology Kanpur,Total Seats,462,25,115,6,173,9,87,5,312,16,1210,964 246
Indian Institute of Technology Madras,Total Seats,436,22,105,5,159,8,80,4,288,14,1121,1054 67
Indian Institute of Technology Gandhinagar,Total Seats,141,5,36,0,53,1,26,1,92,5,360,288 72
Indian Institute of Technology Patna,Total Seats,319,13,82,1,117,6,59,0,214,6,817,782 35
Indian Institute of Technology Roorkee,Total Seats,526,23,127,9,190,12,95,6,347,18,1353,1246 107
Indian Institute of Technology (ISM) Dhanbad,Total Seats,466,25,113,6,172,10,87,4,312,15,1210,1109 101
Indian Institute of Technology Ropar,Total Seats,249,13,62,3,92,5,46,2,165,9,646,598 48
Indian Institute of Technology (BHU) Varanasi,Total Seats,614,30,152,7,227,11,114,5,409,20,1589,1528 61
Indian Institute of Technology Guwahati,Total Seats,372,18,90,5,135,10,69,4,247,12,962,855 107
Indian Institute of Technology Bhilai,Total Seats,126,7,31,2,47,2,24,1,84,5,329,316 13
Indian Institute of Technology Goa,Total Seats,67,3,16,0,22,1,11,1,42,2,165,132 33
Indian Institute of Technology Palakkad,Total Seats,77,4,19,1,27,3,15,0,52,2,200,160 40
