IIT Bhubaneswar,students
Andhra Pradesh,141
Telangana,103
Uttar Pradesh,44
Maharashtra,36
Rajasthan,28
West Bengal,27
Karnataka,24
Odisha,14
Uttarakhand,11
Tamil Nadu,9
Gujarat,9
Jharkhand,8
Assam,7
Bihar,7
Haryana,6
Delhi,6
Chhattisgarh,4
Madhya Pradesh,4
Kerala,3
Nepal,1
Puducherry,1
Nagaland,1
Manipur,1
Himachal Pradesh,1


IIT Bombay,students
Maharashtra,343
Rajasthan,224
Uttar Pradesh,187
Telangana,119
Andhra Pradesh,76
Gujarat,74
Karnataka,72
Uttarakhand,64
Tamil Nadu,32
Delhi,24
West Bengal,23
Kerala,20
Bihar,19
Haryana,19
Chhattisgarh,17
Assam,14
Jharkhand,14
Odisha,13
Madhya Pradesh,12
Jammu and Kashmir,2
Himachal Pradesh,1
Arunachal Pradesh,1
Meghalaya,1


IIT Mandi,students
Uttar Pradesh,107
Rajasthan,97
Uttarakhand,77
Maharashtra,44
Telangana,41
Delhi,32
Haryana,21
Gujarat,20
Karnataka,15
Andhra Pradesh,15
Bihar,13
West Bengal,7
Jharkhand,5
Assam,4
Tamil Nadu,4
Chhattisgarh,3
Odisha,3
Kerala,3
Jammu and Kashmir,2
Madhya Pradesh,1


IIT Delhi,students
Uttar Pradesh,279
Rajasthan,245
Delhi,128
Uttarakhand,122
Maharashtra,91
Haryana,62
Gujarat,44
Telangana,38
Karnataka,30
Bihar,27
West Bengal,25
Andhra Pradesh,25
Tamil Nadu,21
Assam,16
Jharkhand,12
Odisha,11
Kerala,11
Madhya Pradesh,9
Chhattisgarh,7
Jammu and Kashmir,6
Himachal Pradesh,3
Goa,1


IIT Indore,students
Telangana,87
Uttar Pradesh,85
Maharashtra,84
Andhra Pradesh,52
Rajasthan,45
Uttarakhand,28
Karnataka,22
Gujarat,21
Tamil Nadu,12
Bihar,8
Madhya Pradesh,7
Haryana,7
Assam,6
Delhi,5
Kerala,4
Chhattisgarh,2
Jharkhand,2
West Bengal,2
UAE,1
Arunachal Pradesh,1
Odisha,1
Goa,1


IIT Kharagpur,students
Rajasthan,253
Andhra Pradesh,238
Telangana,237
Maharashtra,237
Uttar Pradesh,208
West Bengal,174
Karnataka,94
Gujarat,59
Jharkhand,57
Tamil Nadu,55
Bihar,54
Uttarakhand,50
Odisha,43
Delhi,39
Kerala,25
Assam,21
Madhya Pradesh,21
Chhattisgarh,20
Haryana,18
Himachal Pradesh,4
Goa,3
UAE,2
Jammu and Kashmir,1
Puducherry,1
Dadra and Nagar Haveli and Daman and Diu,1


IIT Hyderabad,students
Telangana,222
Andhra Pradesh,105
Maharashtra,53
Karnataka,51
Uttar Pradesh,28
Rajasthan,28
Tamil Nadu,23
Kerala,18
Gujarat,11
West Bengal,10
Uttarakhand,8
Madhya Pradesh,6
Delhi,5
Bihar,4
Chhattisgarh,4
Odisha,4
Jammu and Kashmir,4
Haryana,4
Assam,3
Jharkhand,3
Puducherry,2
UAE,1


IIT Jodhpur,students
Rajasthan,131
Maharashtra,91
Uttar Pradesh,81
Gujarat,63
Telangana,60
Uttarakhand,37
Andhra Pradesh,27
Delhi,23
Karnataka,18
Bihar,11
West Bengal,11
Madhya Pradesh,7
Haryana,7
Tamil Nadu,6
Assam,5
Himachal Pradesh,4
Kerala,3
Jharkhand,2
Arunachal Pradesh,1
Chhattisgarh,1
Odisha,1
Jammu and Kashmir,1


IIT Kanpur,students
Uttar Pradesh,256
Rajasthan,226
Maharashtra,137
Telangana,94
