State,Alloted Students
West Bengal,28.64
Uttarakhand,36.07
Uttar Pradesh,33.51
UAE,37.14
Telangana,35.04
Tamil Nadu,39.82
Rajasthan,42.94
Puducherry,37.73
Odisha,32.43
Nepal,33.33
Nagaland,8.0
Meghalaya,11.11
Manipur,15.0
Maharashtra,40.19
Madhya Pradesh,34.68
Ladakh,7.69
Kerala,38.15
Karnataka,38.96
Jharkhand,33.98
Jammu and Kashmir,27.31
Himachal Pradesh,46.77
Haryana,48.69
Gujarat,36.78
Goa,30.0
Delhi,32.87
Dadra and Nagar Haveli and Daman and Diu,12.5
Chhattisgarh,26.76
Bihar,33.94
Assam,31.66
Arunachal Pradesh,24.13
Andhra Pradesh,38.86
Andaman and Nicobar Islands,0.0
