State,Count
Uttar Pradesh,8012
Telangana,5853
Rajasthan,5828
Maharashtra,5153
Andhra Pradesh,4492
Uttarakhand,3199
Karnataka,2212
West Bengal,2035
Gujarat,1960
Delhi,1871
Bihar,1361
Tamil Nadu,1288
Jharkhand,821
Assam,777
Haryana,692
Kerala,629
Chhattisgarh,523
Odisha,521
Madhya Pradesh,470
Jammu and Kashmir,194
Himachal Pradesh,62
Arunachal Pradesh,58
Puducherry,53
Goa,50
UAE,35
Meghalaya,27
Nagaland,25
Manipur,20
Ladakh,13
Dadra and Nagar Haveli and Daman and Diu,8
Andaman and Nicobar Islands,3
Nepal,3
